500 steps, 10000 repititions, hazard 0.015000, tr 24
clutch size	1	2	3	4	5	6	7	8	9	10	11
R204		14	16	18	16	10	6	14	8	18	10	0
R205		14	18	18	16	15	18	14	16	18	10	11
R206		16	12	15	12	15	12	14	8	18	10	11
R207		15	14	12	16	10	12	14	16	18	10	0
R208		16	16	12	16	15	18	14	8	9	10	11
R209		12	12	12	12	15	18	14	8	9	10	11
R210		15	14	18	12	15	12	14	16	9	0	11
R211		17	18	18	12	15	6	14	8	18	10	11
R212		16	18	18	16	15	12	14	16	9	10	11
R213		10	14	12	16	15	12	14	16	18	10	11
R214		16	18	18	12	5	6	14	16	9	10	11
R215		15	18	18	16	15	12	14	16	18	10	11
R216		15	14	15	12	15	12	7	8	18	0	11
R217		13	14	15	16	15	18	14	16	9	10	11
R218		15	16	15	12	10	18	7	16	18	10	11
R219		14	18	12	16	15	18	14	8	9	10	11
R220		14	14	12	16	15	18	14	16	18	10	11
R221		17	16	15	12	15	12	0	16	9	10	0
R222		14	12	15	16	10	18	14	16	18	10	11
R223		16	16	15	12	15	18	14	8	18	10	11
R224		13	12	15	16	15	18	14	16	18	10	11
R225		13	18	18	16	10	18	14	8	18	0	0
R226		15	16	18	16	15	18	7	16	18	10	11
R227		12	16	6	12	15	18	7	8	9	10	11
R228		15	14	12	16	15	6	14	16	18	10	11
R229		14	18	15	12	15	18	14	16	18	10	11
R230		18	18	18	16	15	12	7	16	18	0	11
R231		16	14	15	16	10	12	7	8	9	10	0
R232		16	18	15	12	15	12	14	8	9	10	11
R233		16	14	9	16	15	12	14	16	9	10	11
R234		14	18	12	16	15	12	14	16	9	10	0
R235		14	18	15	12	15	12	14	16	18	10	11
R236		16	16	12	16	15	12	14	16	18	10	11
R237		14	14	15	16	15	18	7	16	18	10	11
R238		14	14	15	16	10	18	14	16	18	10	11
R239		15	16	9	16	15	12	7	8	18	10	11
R240		14	18	18	12	15	18	14	16	18	10	0
R241		15	16	15	12	15	6	14	16	9	10	11
R242		16	14	18	16	10	18	14	16	18	10	11
R243		12	18	12	16	10	18	14	16	9	10	0
R244		17	18	12	12	10	18	14	8	18	10	11
R245		16	16	18	16	15	12	14	16	18	10	11
R246		18	18	15	12	15	12	14	16	18	10	11
R247		16	16	15	12	15	18	14	8	9	10	11
R248		16	16	18	16	10	18	14	8	18	10	11
R249		16	16	15	16	10	18	14	8	9	10	11
R250		15	18	12	12	5	18	14	16	9	0	11
R251		13	18	18	12	15	12	14	8	18	10	0
R252		16	12	12	12	15	12	14	8	18	10	11
R253		14	16	12	16	15	18	14	8	9	0	11
R254		12	16	18	12	10	18	14	16	18	10	11
R255		18	18	15	12	15	12	7	16	9	10	11
R256		12	16	15	16	15	12	14	8	9	10	0
R257		16	14	15	16	10	6	7	8	18	10	11
R258		16	18	15	16	10	18	7	16	18	10	11
R259		11	16	15	8	15	18	7	16	18	10	11
R260		13	16	18	16	15	18	14	16	18	10	11
R261		11	14	15	16	10	12	14	0	18	10	11
R262		14	16	12	16	10	12	14	16	9	10	11
R263		16	14	12	16	15	18	14	8	9	10	11
R264		16	16	18	12	10	12	14	16	9	10	11
R265		14	12	18	12	15	18	14	16	18	10	11
R266		13	16	18	16	15	18	7	8	9	10	0
R267		14	8	12	4	15	18	14	8	18	10	11
R268		16	18	12	12	15	12	14	8	18	10	11
R269		16	14	15	12	15	18	14	16	18	10	11
R270		14	18	15	12	15	18	14	8	18	10	11
R271		16	16	15	12	10	12	14	16	9	10	11
R272		15	14	12	12	15	18	14	16	9	10	11
R273		16	16	18	16	10	12	7	16	18	10	11
R274		14	16	18	16	15	12	14	16	18	10	11
R275		15	12	15	16	15	12	14	8	9	10	0
R276		14	16	15	12	15	12	7	16	18	10	11
R277		17	16	18	16	15	6	14	16	9	10	11
R278		15	16	18	16	15	18	14	16	0	10	11
R279		14	18	15	8	5	18	7	8	18	10	0
R280		14	16	15	16	15	12	14	8	9	10	11
R281		15	12	18	16	15	18	14	16	18	10	11
R282		13	16	15	16	10	18	14	16	9	10	11
R283		17	16	15	16	10	18	14	16	9	10	11
R284		14	16	15	16	15	18	7	16	0	10	11
R285		12	16	15	16	15	12	14	16	18	10	11
R286		17	14	15	16	15	18	0	8	18	10	11
R287		16	18	15	16	15	6	7	16	9	10	11
R288		16	16	18	16	15	18	14	16	18	10	11
R289		17	16	18	12	15	12	7	16	9	0	11
R290		16	14	18	16	15	12	7	16	18	10	11
R291		15	12	12	16	10	18	14	16	18	10	11
R292		14	18	18	12	15	18	14	8	9	10	11
R293		15	14	18	12	15	18	14	16	9	10	11
R294		15	12	18	16	15	12	14	8	18	10	11
R295		13	16	15	16	10	18	14	16	18	10	0
R296		16	18	15	16	10	18	14	0	9	10	11
R297		14	8	15	12	10	18	14	16	9	10	11
R298		12	16	15	8	10	6	7	8	9	10	11
R299		16	14	18	16	10	18	7	8	18	10	11
R300		15	16	15	16	15	18	14	16	0	10	11
R301		15	16	15	16	15	18	14	8	9	10	0
R302		16	16	18	12	15	12	14	16	18	10	11
R303		13	16	18	16	10	12	14	16	9	10	11
R304		17	14	15	12	10	18	14	0	18	10	0
R305		14	16	15	12	15	18	14	16	18	10	11
R306		18	16	15	16	15	18	14	8	18	10	11
R307		13	14	15	16	15	12	14	16	9	10	11
R308		17	14	15	16	15	18	14	16	0	10	11
R309		16	14	12	12	15	6	7	16	18	10	11
R310		17	18	18	12	15	18	14	16	18	10	0
R311		17	10	12	16	10	18	14	16	18	10	11
R312		14	16	15	16	15	12	14	8	18	10	11
R313		15	14	15	16	15	18	14	16	18	10	11
R314		15	14	15	16	10	18	14	16	18	10	11
R315		15	16	15	16	15	12	14	16	9	10	11
R316		16	16	15	12	15	12	14	16	18	10	11
R317		13	16	15	12	15	12	14	16	9	10	0
R318		14	14	15	12	5	12	14	16	18	10	11
R319		16	16	15	16	15	18	7	16	18	10	11
R320		14	18	15	16	10	18	14	8	9	10	0
R321		16	16	15	12	15	18	14	16	18	10	11
R322		14	16	18	8	15	18	14	16	18	10	11
R323		16	14	15	16	15	6	14	16	0	10	11
R324		18	18	15	16	15	18	7	16	9	0	11
R325		14	18	15	16	15	12	7	16	9	10	11
R326		13	18	18	12	15	12	14	8	9	10	0
R327		14	16	12	16	10	18	14	16	9	10	11
R328		11	16	12	8	15	18	14	16	9	10	11
R329		13	16	18	16	15	12	14	16	18	10	11
R330		17	16	18	12	15	18	7	8	9	10	11
R331		14	18	12	16	15	12	14	8	9	10	11
R332		14	16	18	16	10	12	14	8	9	10	11
R333		13	16	15	16	15	12	14	16	18	10	11
R334		14	14	12	16	15	6	14	16	18	10	11
R335		18	6	15	12	15	0	14	16	18	10	11
R336		14	14	18	12	10	18	7	16	18	10	11
R337		15	16	15	16	15	18	14	8	0	10	11
R338		16	16	15	16	15	12	7	16	9	10	11
R339		16	18	15	16	15	18	14	8	18	10	11
R340		15	16	15	16	10	12	14	8	18	10	11
R341		16	18	9	16	15	18	14	8	18	10	11
R342		15	18	12	16	15	12	14	16	18	10	11
R343		15	10	15	16	10	18	14	16	0	10	11
R344		10	16	15	12	10	12	7	8	18	10	0
R345		14	14	18	12	10	18	14	8	9	10	11
R346		15	18	15	8	10	18	7	8	18	10	11
R347		17	16	15	16	15	12	14	8	9	10	11
R348		16	14	15	16	10	18	14	16	18	10	0
R349		15	18	12	16	10	18	7	16	9	10	11
R350		13	12	15	16	15	12	14	16	9	10	11
R351		14	16	15	8	10	18	7	16	18	10	11
R352		15	16	15	16	15	18	14	8	9	10	11
R353		15	18	18	16	15	18	14	16	9	10	11
R354		16	18	18	16	15	12	14	16	18	10	0
R355		17	14	15	12	15	18	14	16	9	10	11
R356		16	12	15	12	15	18	7	8	18	10	0
R357		16	16	12	12	15	18	14	16	18	10	11
R358		14	12	18	16	10	18	14	16	18	10	11
R359		17	16	18	12	15	18	14	16	18	10	11
R360		17	18	9	16	15	18	14	16	9	10	11
R361		10	12	18	16	10	12	7	16	18	10	11
R362		14	12	9	16	15	12	14	16	9	10	11
R363		16	16	15	12	10	12	14	8	9	10	11
R364		14	16	18	12	15	18	14	8	18	10	11
R365		15	12	12	8	15	12	14	16	9	10	11
R366		14	12	18	12	10	12	14	8	18	10	11
R367		14	12	15	12	10	12	14	16	18	10	11
R368		16	18	9	16	15	12	14	16	18	10	11
R369		14	18	15	16	15	18	14	16	18	10	11
R370		17	18	12	16	15	12	14	16	18	10	11
R371		16	16	12	12	15	18	14	8	9	10	11
R372		15	14	12	16	10	12	14	16	18	10	11
R373		12	14	15	16	15	12	14	16	18	10	11
R374		17	18	12	16	10	12	14	16	18	10	11
R375		17	16	15	16	10	12	14	16	18	10	0
R376		16	14	12	16	15	18	14	8	9	10	11
R377		15	14	12	12	15	6	14	16	9	10	11
R378		14	16	18	8	10	18	14	16	9	10	11
R379		16	14	9	16	15	18	14	8	18	10	0
R380		15	16	15	16	15	18	14	8	18	10	11
R381		15	16	12	12	15	18	14	8	18	10	11
R382		17	12	15	12	15	18	14	16	9	10	0
R383		17	14	12	8	15	12	14	16	18	10	11
R384		16	16	18	16	15	18	7	16	18	10	11
R385		16	16	15	12	15	18	14	16	18	10	11
R386		18	16	12	4	15	12	14	8	18	10	11
R387		15	14	18	16	15	18	14	16	9	10	11
R388		15	16	12	16	15	6	14	16	18	10	11
R389		16	18	12	8	10	12	7	16	9	0	11
R390		17	16	15	16	15	18	7	16	9	10	0
R391		13	14	12	16	15	12	0	8	18	10	11
R392		16	16	15	16	10	18	14	16	18	10	0
R393		17	12	18	16	15	18	14	16	18	10	11
R394		18	16	15	16	10	6	14	16	18	10	11
R395		15	14	15	8	15	6	14	16	9	10	0
R396		16	14	15	12	15	12	14	8	18	10	11
R397		16	14	15	16	10	18	14	16	18	10	11
R398		16	14	12	12	15	12	14	8	9	10	11
R399		16	16	18	16	10	12	14	16	18	10	11
R400		15	14	15	16	15	18	14	8	9	10	11
R401		16	16	18	4	10	6	14	16	18	10	11
R402		13	18	15	16	10	12	14	16	18	10	11
R403		16	14	15	12	10	6	14	16	18	10	11
R404		15	14	15	8	15	18	14	8	0	10	11
R405		16	16	15	16	15	12	7	16	18	10	11
R406		14	16	15	16	15	6	7	8	9	10	11
R407		15	18	18	16	10	12	7	16	9	10	11
R408		15	16	12	12	15	18	14	8	18	10	11
R409		14	12	15	16	15	12	14	16	9	10	11
R410		16	14	18	16	15	18	0	16	9	10	11
R411		14	18	15	12	15	12	14	16	9	10	11
R412		14	18	15	12	15	18	14	16	9	10	11
R413		16	18	15	16	15	18	7	8	9	10	11
R414		12	14	15	16	15	18	7	8	9	10	11
R415		13	14	12	16	15	18	7	16	18	10	11
R416		16	14	9	8	15	12	14	16	18	10	11
R417		17	16	12	12	15	6	14	8	18	10	0
R418		18	18	15	16	15	18	14	16	18	10	11
R419		16	14	18	12	15	18	14	16	9	10	11
R420		15	16	18	16	15	12	14	16	18	10	11
R421		14	12	15	16	10	12	14	8	18	0	0
R422		17	16	18	8	15	12	14	16	18	10	11
R423		15	14	15	16	15	18	14	8	9	10	11
R424		14	14	9	16	15	12	7	16	18	10	11
R425		15	16	18	16	15	12	0	8	18	10	11
R426		17	14	12	16	10	18	14	16	9	10	11
R427		16	14	12	12	15	18	14	8	18	0	11
R428		17	16	15	16	10	12	14	16	18	10	11
R429		18	14	15	16	15	18	14	8	9	10	11
R430		14	12	15	16	10	18	14	16	18	10	11
R431		18	16	15	16	10	6	14	8	18	10	11
R432		15	18	15	12	10	12	14	16	18	10	11
R433		14	14	18	16	15	18	0	16	9	10	11
R434		16	16	18	16	10	18	14	16	18	10	11
R435		16	12	18	12	5	18	14	16	18	10	11
R436		17	12	12	12	10	12	7	16	9	10	11
R437		17	16	15	12	15	12	14	16	18	10	11
R438		16	18	18	12	15	12	14	8	18	10	11
R439		15	16	15	16	10	12	14	16	18	10	11
R440		16	14	12	16	15	18	14	16	18	10	11
R441		15	16	18	8	15	18	14	16	18	10	11
R442		16	14	15	16	15	18	14	8	18	10	11
R443		14	14	12	12	15	18	7	16	9	10	11
R444		15	16	15	16	15	18	14	16	18	10	11
R445		17	14	6	12	10	18	14	16	9	10	11
R446		17	16	15	16	10	6	14	16	18	10	11
R447		15	16	15	12	10	18	14	16	18	10	11
R448		15	18	15	16	15	12	7	16	18	10	11
R449		14	12	18	8	10	12	7	16	18	10	11
R450		17	16	15	16	15	12	14	16	18	10	11
R451		16	16	18	16	5	18	14	16	9	10	11
R452		17	16	12	12	15	6	14	16	9	10	11
R453		16	16	15	16	15	12	14	8	9	10	11
R454		14	18	15	16	15	12	7	16	9	10	11
R455		12	18	15	4	15	12	14	16	18	10	11
R456		15	16	18	16	15	12	14	16	9	10	11
R457		18	14	15	12	15	6	14	8	18	10	11
R458		14	14	15	16	15	18	7	8	18	0	11
R459		13	14	18	12	10	18	14	16	18	0	0
R460		16	18	15	16	15	12	7	16	9	10	11
R461		17	16	12	16	15	12	7	8	18	10	11
R462		17	14	15	16	15	18	14	8	9	10	11
R463		16	12	15	16	15	18	14	8	9	10	11
R464		15	16	15	16	15	18	14	8	18	10	11
R465		14	14	15	16	15	18	14	8	9	10	11
R466		15	6	15	16	15	18	14	16	18	10	0
R467		16	10	18	16	15	18	7	8	9	10	11
R468		17	16	15	16	15	18	7	16	9	10	11
R469		14	16	12	4	15	18	7	16	18	0	11
R470		15	14	9	12	10	12	14	0	18	10	11
R471		16	12	18	16	15	12	14	16	18	10	11
R472		14	14	18	16	15	12	7	16	18	10	11
R473		17	16	15	8	15	18	14	16	9	10	11
R474		13	16	18	16	15	12	14	16	18	10	11
R475		14	12	12	12	10	18	7	16	18	10	11
R476		14	10	9	16	15	18	14	16	18	10	11
R477		14	14	15	16	15	12	14	0	9	10	11
R478		14	14	18	16	15	12	14	0	9	10	11
R479		13	18	15	16	15	18	14	16	18	10	11
R480		14	16	15	12	10	12	14	8	18	10	11
R481		16	16	18	16	15	12	14	16	9	10	11
R482		17	12	15	12	10	12	14	16	9	10	11
R483		16	16	18	16	15	12	7	16	18	10	0
R484		16	14	12	12	10	12	14	16	9	10	11
R485		17	14	18	16	15	18	7	16	9	10	0
R486		16	14	12	16	15	18	14	16	18	10	0
R487		15	16	15	16	15	12	14	16	18	10	11
R488		14	18	9	16	15	12	14	8	9	10	11
R489		16	16	18	16	15	6	14	16	18	10	0
R490		13	16	15	16	15	6	14	16	18	10	11
R491		17	14	15	8	15	18	7	8	9	10	0
R492		16	8	15	12	15	6	14	16	18	10	11
R493		16	18	9	12	15	18	14	8	18	10	11
R494		16	16	12	16	15	18	14	16	9	10	11
R495		15	14	15	12	15	12	7	16	9	10	11
R496		14	14	18	16	15	12	14	16	9	10	11
R497		15	14	15	16	15	18	14	8	9	10	11
R498		17	12	18	16	15	12	14	8	9	10	11
R499		12	18	12	16	15	18	14	16	18	10	0
R500		13	14	15	16	10	18	7	8	18	10	0
R501		13	14	12	16	10	18	7	16	18	10	11
R502		12	12	15	8	10	18	14	16	18	10	11
R503		16	18	18	12	15	12	14	16	18	10	0
R504		15	18	18	16	15	18	14	16	18	0	11
R505		15	16	12	12	15	18	14	16	18	10	11
R506		17	14	12	12	10	18	14	8	9	10	0
R507		15	16	18	16	15	6	14	8	9	10	11
R508		15	14	18	16	15	18	14	16	18	0	11
R509		14	16	18	16	15	18	7	16	9	10	11
R510		16	18	12	16	15	18	14	16	9	10	11
R511		15	16	15	16	15	18	7	16	9	10	11
R512		13	16	15	16	15	6	14	8	9	10	11
R513		17	16	9	16	15	12	7	16	9	10	11
R514		15	14	15	16	15	18	14	16	18	10	11
R515		16	14	15	16	15	18	7	16	18	10	11
R516		15	14	18	16	15	12	0	16	9	10	11
R517		16	18	15	12	15	18	14	16	18	10	11
R518		12	14	15	12	15	12	14	16	9	10	11
R519		15	18	15	12	15	6	14	8	18	10	11
R520		18	14	15	12	15	12	14	16	9	10	11
R521		16	16	12	4	15	12	14	8	18	10	11
R522		16	16	15	16	15	12	14	16	18	10	11
R523		14	16	15	16	15	12	7	16	9	10	11
R524		16	14	15	16	15	18	14	16	18	10	11
R525		16	14	15	12	15	12	14	8	9	10	0
R526		14	18	15	12	15	12	7	8	18	10	11
R527		14	8	12	16	15	18	14	16	9	10	11
R528		15	16	12	16	10	12	7	16	18	0	11
R529		17	18	15	16	15	18	7	16	9	10	11
R530		15	16	18	16	15	12	14	16	18	10	11
R531		12	12	15	16	15	12	14	8	9	10	11
R532		16	16	18	16	15	12	14	16	18	10	11
R533		17	12	15	16	15	18	14	8	9	10	11
R534		14	14	12	12	15	18	14	16	9	10	11
R535		17	14	9	16	10	6	14	16	18	10	11
R536		12	16	12	16	15	12	14	16	9	10	11
R537		14	12	12	16	15	18	14	16	9	10	11
R538		16	16	15	16	10	12	14	16	9	10	11
R539		15	14	15	16	15	6	14	16	18	10	11
R540		15	16	18	16	15	12	14	16	9	10	11
R541		16	16	12	16	15	12	14	16	9	10	11
R542		14	16	12	8	15	12	14	16	18	0	11
R543		15	14	12	16	15	12	7	16	9	10	11
R544		16	14	18	12	15	12	7	8	18	10	11
R545		13	12	12	12	15	6	14	16	18	10	11
R546		17	16	15	16	15	18	14	8	9	10	11
R547		15	16	15	12	15	12	7	16	18	10	11
R548		14	12	15	12	15	12	7	16	9	10	11
R549		16	16	12	12	15	12	14	8	18	10	11
R550		15	16	18	12	15	12	7	16	9	10	11
R551		14	12	12	8	15	12	14	16	18	10	11
R552		18	14	12	16	15	12	14	16	0	10	11
R553		15	14	18	12	15	6	7	8	18	10	11
