1500 steps, 10000 repititions, hazard 0.030000, tr 24
clutch size	1	2	3	4	5	6	7	8	9	10	11
R171		38	40	39	36	30	40	41	47	32	39	36
R172		33	37	40	38	42	39	40	36	42	45	43
R173		38	40	45	36	37	40	42	48	37	47	41
R174		34	44	39	36	37	43	46	48	41	34	32
R175		40	40	35	30	36	38	44	50	38	33	41
R176		36	36	38	45	32	40	38	46	43	34	44
R177		41	39	39	31	38	48	32	39	45	52	38
R178		38	45	36	37	48	38	35	28	37	45	35
R179		37	35	47	36	40	48	33	38	39	35	50
R180		40	37	43	44	34	37	42	40	48	47	35
R181		43	35	46	41	42	49	37	42	38	42	38
R182		39	37	37	38	32	41	38	37	44	51	40
R183		34	48	35	45	42	40	38	40	40	39	39
R184		38	41	43	36	37	42	44	48	33	35	42
R185		39	40	41	42	31	28	45	37	36	41	44
R186		43	40	38	41	45	42	53	38	43	28	37
R187		38	38	42	44	38	44	41	46	27	35	47
R188		33	43	37	41	44	38	37	42	48	45	37
R189		40	38	37	41	45	43	42	44	47	35	51
R190		41	40	44	40	51	35	50	39	38	26	36
R191		40	39	33	46	38	35	35	35	43	34	41
R192		38	47	36	44	36	49	34	32	46	38	41
R193		40	44	33	50	36	48	38	34	41	33	37
R194		32	41	43	41	33	43	37	45	35	35	49
R195		39	44	46	40	39	47	42	41	38	48	41
R196		41	42	35	38	45	46	43	34	40	20	38
R197		36	36	41	40	37	35	44	37	38	43	44
R198		38	37	41	35	36	41	35	44	36	37	41
R199		42	37	42	36	30	48	51	43	41	43	47
R200		38	44	41	41	37	34	39	33	32	43	40
R201		37	35	40	42	48	40	38	43	27	38	47
R202		44	33	32	34	39	41	40	40	39	44	33
R203		42	38	38	45	34	35	38	45	30	36	49
R204		37	33	37	45	40	32	47	36	39	45	32
R205		35	39	28	39	41	42	45	42	36	42	32
R206		32	39	40	47	43	36	37	32	41	48	44
R207		40	29	31	37	32	48	37	44	32	44	43
R208		42	40	45	33	40	48	41	36	45	45	29
R209		38	37	35	38	26	33	36	38	42	47	43
R210		44	41	39	40	41	40	47	43	41	43	30
R211		39	40	33	39	36	37	25	41	29	36	38
R212		33	46	48	37	43	29	41	37	38	44	49
R213		38	41	37	41	40	37	34	34	48	52	44
R214		41	39	42	35	42	41	42	40	50	40	39
R215		37	46	40	43	48	45	41	34	46	46	47
R216		43	39	41	37	38	34	25	47	44	37	36
R217		35	38	38	42	30	41	35	42	37	39	53
R218		38	38	41	38	43	42	36	41	38	48	45
R219		42	39	35	34	40	42	47	36	35	39	39
R220		38	40	39	42	39	45	23	39	39	43	38
R221		37	36	36	42	30	39	40	47	37	35	40
R222		38	33	40	39	41	47	45	46	49	40	42
R223		42	40	39	38	48	50	44	35	41	37	40
R224		38	41	45	38	39	39	37	36	46	37	31
R225		40	36	48	38	41	36	37	31	40	42	43
R226		38	37	37	45	47	37	47	44	48	42	47
R227		43	39	38	47	39	43	43	46	43	35	29
R228		41	43	36	41	42	41	41	45	39	41	48
R229		38	42	38	40	38	45	38	39	43	44	36
R230		41	39	44	37	40	48	34	42	42	37	33
R231		40	42	37	41	46	26	44	45	34	28	42
R232		38	42	24	38	43	50	44	30	36	40	31
R233		38	40	37	37	31	44	43	42	40	39	43
R234		30	42	41	38	40	47	42	43	31	45	39
R235		39	37	42	44	38	42	39	39	42	40	43
R236		34	46	33	32	40	47	45	43	37	46	35
R237		40	36	27	40	45	42	44	33	36	43	41
R238		40	39	40	38	46	36	36	41	43	48	37
R239		38	43	33	40	35	23	37	43	43	46	43
R240		36	35	46	35	36	40	49	38	42	46	36
R241		42	39	42	41	39	35	46	49	40	30	44
R242		30	44	37	35	37	31	43	44	37	36	39
R243		40	31	40	42	41	39	35	46	47	36	38
R244		39	34	41	44	33	44	32	43	40	38	38
R245		35	45	37	33	39	32	35	19	40	48	48
R246		31	34	36	43	38	32	37	35	40	34	38
R247		36	40	38	39	40	41	38	54	40	33	46
R248		38	39	39	35	34	47	47	33	43	32	36
R249		33	37	43	45	40	36	35	42	37	42	37
R250		37	36	38	34	38	39	48	37	37	40	48
R251		36	40	38	44	38	36	40	31	39	36	40
R252		37	40	44	40	43	43	47	46	35	47	44
R253		39	45	36	44	32	45	44	40	44	42	42
R254		38	39	45	48	44	41	38	42	46	46	46
R255		37	35	42	40	44	36	42	41	39	37	36
R256		42	43	48	41	42	47	39	41	37	34	38
R257		41	40	44	42	33	34	29	43	38	43	35
R258		37	42	36	31	38	43	46	42	42	50	36
R259		33	45	32	38	34	48	37	38	37	36	45
R260		39	43	39	42	39	49	36	40	45	39	47
R261		36	42	39	42	26	48	44	30	39	43	43
R262		36	40	45	41	44	43	46	32	50	45	37
R263		39	39	39	43	44	36	46	39	27	37	45
R264		40	36	37	40	38	44	37	35	37	42	32
R265		31	37	43	35	35	39	29	33	34	48	40
R266		40	38	46	38	50	39	31	41	40	33	41
R267		41	41	40	43	43	45	45	43	37	45	46
R268		40	38	32	38	43	44	48	46	42	30	37
R269		34	39	41	34	48	46	38	45	40	36	40
