500 steps, 10000 repititions, hazard 0.030000, tr 24
clutch size	1	2	3	4	5	6	7	8	9	10	11
R175		14	14	9	12	10	12	7	0	9	10	0
R176		12	12	15	8	15	12	14	8	9	10	0
R177		9	10	15	12	10	12	7	8	18	10	11
R178		14	10	9	12	10	18	14	16	18	10	0
R179		10	14	9	12	10	12	14	16	9	0	11
R180		9	14	12	12	5	12	14	8	18	10	11
R181		11	14	6	12	10	12	14	16	18	10	11
R182		15	16	9	12	5	6	7	16	0	10	11
R183		11	8	9	16	10	6	14	16	18	10	11
R184		15	10	12	16	15	18	14	8	0	10	11
R185		13	12	15	16	10	12	14	8	18	10	11
R186		12	10	9	8	15	12	7	8	9	10	11
R187		13	6	15	8	5	12	7	16	9	10	11
R188		11	10	9	8	5	6	14	8	9	10	11
R189		13	12	18	16	15	12	14	16	9	0	11
R190		13	12	9	16	10	12	14	16	9	10	11
R191		11	12	12	16	10	0	14	16	9	10	11
R192		15	16	12	12	10	12	14	8	9	10	11
R193		12	8	12	8	15	12	7	0	9	0	11
R194		13	12	9	8	15	12	7	8	9	10	11
R195		12	16	12	4	15	6	7	16	9	0	0
R196		12	12	6	8	10	6	14	16	0	10	11
R197		10	12	12	12	15	12	14	16	0	0	0
R198		14	10	6	12	10	6	7	16	18	10	11
R199		11	14	12	12	10	18	7	16	18	10	11
R200		9	18	12	12	5	6	7	8	9	10	0
R201		14	14	9	12	5	12	7	8	18	0	11
R202		11	10	3	12	10	6	14	8	18	0	11
R203		13	10	15	4	5	18	14	8	9	10	0
R204		14	12	15	12	10	12	14	16	18	10	11
R205		12	14	12	12	10	6	14	8	9	10	11
R206		10	16	15	12	15	12	7	8	9	10	11
R207		13	12	15	12	15	12	7	8	9	10	11
R208		10	14	15	8	10	12	7	16	9	10	0
R209		13	18	3	8	10	12	7	16	9	10	0
R210		14	12	15	12	10	6	7	8	9	10	11
R211		16	12	15	12	10	6	7	8	9	0	11
R212		13	12	9	8	15	6	14	8	9	10	0
R213		12	14	12	12	10	18	0	16	9	10	0
R214		12	8	15	12	10	0	14	16	18	10	0
R215		12	14	15	8	15	12	7	16	9	10	0
R216		14	12	12	8	10	12	7	8	9	10	0
R217		13	12	15	8	10	18	14	16	9	0	11
R218		9	12	9	16	10	12	14	8	9	10	11
R219		15	14	9	16	10	18	7	8	9	0	11
R220		10	12	18	4	10	12	7	16	9	10	11
R221		14	12	3	12	15	18	7	8	9	0	0
R222		10	12	9	16	5	6	14	8	0	0	11
R223		11	10	3	8	10	18	14	8	18	10	11
R224		14	16	12	12	5	6	14	8	9	10	11
R225		14	16	12	16	15	6	14	8	9	10	11
R226		15	16	12	12	10	18	7	0	9	10	11
R227		11	12	15	8	15	18	14	8	9	10	11
R228		12	12	12	8	15	12	7	8	9	10	11
R229		14	12	9	16	15	12	14	8	9	10	0
R230		11	8	15	12	10	12	14	16	9	10	11
R231		14	12	15	12	10	18	14	8	9	10	11
R232		12	8	12	12	10	6	14	8	9	10	11
R233		13	12	15	16	10	12	7	8	9	10	11
R234		11	8	15	16	15	18	14	8	18	0	11
R235		15	12	18	16	10	12	14	8	9	10	0
R236		12	14	15	12	5	0	14	16	9	10	11
R237		14	14	15	16	15	6	14	16	9	10	11
R238		10	14	15	4	10	12	0	16	18	10	0
R239		12	16	12	12	15	0	14	16	18	10	0
R240		13	16	9	12	10	12	14	8	9	10	0
R241		13	14	9	16	5	12	14	8	9	0	11
R242		12	12	12	16	15	6	14	16	9	0	0
R243		12	14	15	8	10	12	0	16	9	0	11
R244		13	12	9	8	10	6	7	8	18	0	11
R245		12	18	12	16	15	6	7	0	18	10	0
R246		11	10	12	8	15	12	14	8	9	10	11
R247		14	8	12	12	5	12	14	16	18	10	11
R248		11	14	12	16	5	12	14	16	9	10	11
R249		11	12	3	16	10	18	14	8	9	0	0
R250		13	10	18	16	15	12	14	16	9	10	0
R251		11	12	15	16	5	6	7	16	9	10	11
R252		10	14	12	8	10	12	14	8	9	10	0
R253		11	12	12	12	15	18	7	16	0	10	11
R254		10	12	12	8	15	18	14	0	18	10	0
R255		14	14	15	16	15	6	7	16	9	10	11
R256		10	10	3	12	15	12	14	8	18	10	11
R257		8	14	12	12	10	6	14	8	9	10	11
R258		14	12	12	8	10	6	14	8	9	0	11
R259		10	8	12	12	15	12	14	16	9	10	11
R260		12	8	15	8	15	6	14	8	18	0	11
