1500 steps, 10000 repititions, hazard 0.030000, tr 24
clutch size	1	2	3	4	5	6	7	8	9	10	11
R181		40	38	39	36	45	30	28	32	45	40	44
R182		40	30	45	36	35	30	35	40	54	50	33
R183		40	42	42	44	35	36	28	48	27	30	33
R184		34	40	45	36	35	30	56	48	45	40	22
R185		43	38	27	40	35	30	49	32	36	40	55
R186		39	44	36	20	50	24	42	40	45	40	33
R187		42	42	36	44	40	24	42	40	36	50	33
R188		35	36	33	36	35	36	28	32	45	50	44
R189		41	36	48	40	35	42	35	48	36	40	33
R190		35	42	51	44	30	36	35	40	36	50	22
R191		41	40	30	40	35	42	42	32	45	50	22
R192		40	42	45	36	45	42	35	32	36	30	33
R193		40	32	39	36	55	48	35	48	45	30	11
R194		36	34	39	36	35	36	28	16	45	50	33
R195		37	44	48	40	40	42	28	48	36	30	44
R196		41	40	36	36	40	42	21	40	45	30	44
R197		38	36	42	40	25	42	35	24	36	30	11
R198		36	34	51	40	45	42	35	40	45	50	33
R199		41	34	36	48	30	42	49	32	45	50	33
R200		39	42	33	36	25	30	35	40	27	30	33
R201		38	44	39	44	50	36	42	56	36	40	44
R202		39	42	36	52	40	36	35	40	36	40	44
R203		41	40	36	28	45	42	21	40	27	60	33
R204		43	36	39	32	40	42	35	40	27	40	44
R205		41	38	45	36	35	54	42	40	27	40	44
R206		36	34	30	44	50	48	42	32	45	50	33
R207		41	34	39	48	50	36	42	32	54	40	44
R208		42	34	39	44	30	42	35	24	36	50	44
R209		40	38	39	36	50	48	21	24	54	30	44
R210		46	46	27	52	30	42	28	32	18	40	22
R211		35	38	45	44	40	36	35	56	36	30	44
R212		37	36	33	36	35	42	35	40	9	40	33
R213		35	38	30	48	45	30	42	24	27	40	0
R214		40	44	42	40	45	30	35	48	45	30	33
R215		39	44	39	48	15	48	35	32	36	40	44
R216		37	44	36	40	40	42	35	40	54	20	22
R217		36	38	36	40	35	30	49	24	36	60	44
R218		39	44	36	36	35	36	42	40	36	20	33
R219		43	44	45	36	50	48	28	40	36	50	33
R220		36	42	42	32	40	36	28	40	36	30	33
R221		37	40	39	40	40	48	42	40	54	30	44
R222		43	42	36	48	35	30	49	48	36	10	44
R223		42	32	30	40	45	30	35	24	36	20	22
R224		34	40	33	40	50	36	56	40	36	30	44
R225		39	42	33	32	40	42	56	32	27	40	55
R226		40	36	39	36	45	36	49	16	36	20	33
R227		37	36	45	28	35	30	21	56	36	30	44
R228		37	40	42	32	35	42	35	56	36	40	44
R229		38	34	36	28	55	54	49	32	45	40	22
R230		43	36	48	40	40	54	49	48	36	60	33
R231		31	46	36	48	50	36	49	40	36	40	44
R232		37	36	39	40	35	36	28	32	27	30	44
R233		36	32	45	40	15	36	35	40	36	50	22
R234		43	42	45	40	45	36	49	40	45	40	33
R235		38	38	39	40	45	42	49	48	36	30	44
R236		41	44	39	36	40	36	42	40	36	30	33
R237		40	36	45	40	35	48	49	32	45	20	22
R238		39	42	42	44	45	48	49	40	45	40	22
R239		45	42	45	40	40	48	49	32	45	40	22
R240		38	38	42	40	40	42	28	32	36	40	33
R241		38	36	33	36	45	30	21	56	27	30	44
R242		34	36	36	44	45	48	35	24	36	30	55
R243		36	46	30	48	40	30	28	48	36	40	22
R244		38	42	30	48	35	24	28	32	36	30	44
R245		43	40	39	40	30	54	42	40	45	20	44
R246		40	42	45	40	40	48	28	32	36	60	44
R247		28	42	45	36	35	24	42	32	27	40	22
R248		39	44	39	28	40	30	28	32	45	30	44
R249		41	36	24	36	50	24	28	40	45	30	55
R250		44	38	36	40	40	36	35	32	18	40	33
R251		40	42	39	40	35	30	28	40	36	40	22
R252		38	42	36	32	40	36	35	56	36	30	33
R253		41	38	42	44	40	36	35	40	45	40	22
R254		37	40	36	48	40	48	35	32	45	20	33
R255		41	30	36	40	20	48	49	32	54	30	22
R256		41	36	42	36	35	42	42	40	45	50	33
R257		37	38	33	48	35	42	21	48	45	20	44
R258		41	40	39	44	40	48	49	48	36	40	33
R259		37	44	45	40	40	36	42	24	36	20	33
R260		44	42	48	44	30	30	28	48	45	50	33
R261		40	40	39	28	40	24	42	48	36	30	33
R262		31	34	42	44	25	42	49	16	27	50	44
R263		34	44	36	40	35	42	56	32	27	30	22
