500 steps, 10000 repititions, hazard 0.060000, tr 24
clutch size	1	2	3	4	5	6	7	8	9	10	11
R164		7	10	6	4	5	6	7	8	9	10	0
R165		7	6	3	8	10	6	0	8	0	10	0
R166		6	10	9	8	10	12	7	8	18	10	11
R167		1	10	12	12	5	6	7	0	9	0	11
R168		2	10	6	8	5	6	14	0	9	0	11
R169		7	6	15	4	15	0	7	8	0	0	11
R170		8	8	9	8	10	0	7	0	9	0	0
R171		8	10	6	4	10	12	7	8	9	10	0
R172		10	8	6	4	5	0	0	0	0	0	11
R173		7	12	12	8	10	6	0	0	0	0	11
R174		9	8	9	12	5	12	0	8	0	10	0
R175		4	10	9	4	5	6	7	8	0	0	0
R176		7	8	6	4	0	0	0	8	9	10	11
R177		10	10	9	8	5	6	7	16	0	10	0
R178		9	10	9	4	15	0	14	8	0	10	11
R179		8	10	6	8	5	6	14	8	9	0	11
R180		7	8	6	0	10	0	7	0	9	0	0
R181		7	8	6	8	5	6	7	8	0	10	0
R182		6	10	6	4	5	6	7	8	9	10	11
R183		6	8	9	0	0	6	7	16	9	0	11
R184		12	4	12	12	0	12	7	16	0	10	0
R185		7	8	6	4	5	12	7	0	9	10	11
R186		8	10	9	0	5	6	0	8	0	10	0
R187		8	12	6	8	5	6	14	16	9	10	11
R188		8	12	6	12	5	12	14	8	9	0	11
R189		5	8	3	8	10	12	0	8	0	0	0
R190		9	8	9	8	5	0	7	8	0	10	11
R191		8	6	3	8	10	6	0	0	18	0	11
R192		7	6	9	8	10	6	7	8	9	10	0
R193		7	10	3	12	5	6	0	8	0	10	11
R194		10	4	9	4	5	0	7	8	9	10	0
R195		6	8	12	8	0	6	0	0	9	0	0
R196		8	4	3	8	10	6	0	0	0	10	0
R197		9	6	6	8	5	12	14	0	9	10	11
R198		9	6	9	8	10	6	7	16	0	10	11
R199		4	4	9	8	10	6	7	0	0	0	0
R200		9	8	6	8	10	6	0	8	0	10	0
R201		8	8	9	8	0	6	7	8	9	10	0
R202		11	10	6	8	5	12	7	8	18	10	0
R203		8	8	6	8	15	0	7	8	18	10	11
R204		7	6	3	12	0	6	7	0	0	10	0
R205		10	8	12	8	15	6	0	8	9	0	11
R206		8	8	9	8	5	6	7	0	9	10	0
R207		9	10	12	16	10	12	14	8	9	0	11
R208		5	6	6	8	10	6	0	8	9	10	11
R209		9	10	9	8	5	6	7	16	0	10	0
R210		9	10	0	0	10	6	7	8	0	10	11
R211		10	6	6	12	15	0	0	0	0	10	0
R212		7	10	6	8	0	6	0	0	9	0	0
R213		11	8	9	0	5	0	7	16	0	10	11
R214		7	8	9	8	10	12	7	8	0	10	0
R215		7	8	3	4	5	12	0	8	9	0	11
R216		10	10	9	12	10	6	14	8	18	0	11
R217		10	6	9	0	5	6	0	0	0	0	0
R218		6	4	6	8	0	12	0	0	9	0	0
R219		6	8	6	4	5	12	14	8	0	10	11
R220		8	14	9	12	5	12	0	8	9	10	11
R221		7	6	9	4	10	6	0	0	9	0	11
R222		7	6	9	4	5	6	7	8	9	10	11
R223		8	10	12	16	10	0	7	0	9	10	0
R224		8	10	12	16	0	12	7	8	9	0	11
R225		6	8	12	8	15	6	0	16	18	0	11
R226		11	4	9	4	10	0	7	8	9	0	11
R227		10	8	3	8	5	12	7	0	9	10	11
R228		8	8	9	12	5	6	14	0	0	10	0
R229		8	6	6	12	10	0	14	8	0	10	0
R230		4	2	9	8	10	18	7	0	0	0	0
R231		8	10	9	8	5	6	14	0	18	10	11
R232		9	2	6	8	10	12	7	8	9	0	11
R233		12	6	9	4	0	6	7	8	9	0	11
R234		11	10	3	8	10	12	14	8	9	10	11
R235		6	12	6	12	5	12	7	0	9	0	11
R236		8	8	9	8	0	6	7	0	9	10	0
R237		6	8	15	12	10	6	7	16	0	10	11
R238		8	10	3	8	5	12	7	0	9	0	0
R239		8	12	9	0	15	12	14	8	0	10	0
R240		9	10	6	8	15	6	14	16	0	10	0
R241		5	12	12	4	5	0	7	16	9	10	11
R242		8	8	3	4	10	6	0	0	9	10	0
R243		5	12	9	8	10	6	7	8	0	10	0
R244		11	4	6	16	0	0	7	8	0	10	11
R245		7	10	9	4	10	0	0	8	9	10	11
R246		9	6	9	8	5	12	7	8	0	0	11
R247		6	10	9	8	5	6	7	0	18	0	0
R248		9	10	6	12	15	6	7	8	0	10	11
R249		5	6	6	8	10	0	0	16	0	10	0
R250		4	4	12	8	10	6	7	16	18	0	0
R251		8	8	9	12	5	0	0	8	9	10	11
R252		10	10	6	12	0	6	7	8	9	10	11
R253		13	6	6	4	10	6	0	0	0	0	11
R254		8	8	6	4	10	12	0	8	9	0	11
R255		6	8	6	8	10	12	7	8	0	0	0
R256		10	8	9	4	5	12	14	0	0	10	0
R257		8	8	6	0	5	12	7	8	9	0	0
R258		3	12	6	4	10	12	7	8	0	10	0
R259		7	4	12	8	5	12	14	8	0	0	11
R260		9	6	9	8	15	18	7	0	9	10	0
R261		5	10	15	4	15	6	0	8	18	0	11
R262		7	4	9	12	10	12	14	0	0	10	0
R263		5	6	9	8	10	6	7	0	0	10	0
R264		10	6	6	12	10	12	14	0	0	0	11
